EVA_NR;DS100;IFOPT;NAME;Longitude;Latitude;Betreiber_Name
8000265;RNM;de:08226:2986;Neckargemünd;8,788425;49,393678;DB Station und Service AG
8000266;KW;de:05124:11376;Wuppertal Hbf;7,149543;51,254363;DB Station und Service AG
8000267;NNE;de:09477:3524;Neuenmarkt-Wirsberg;11,581061;50,093676;DB Station und Service AG
8000268;HWUN;de:03241:9884;Wunstorf;9,450976;52,422225;DB Station und Service AG
8000269;NNS;de:09371:19000;Neukirchen(b Sulzb);11,61954;49,524326;DB Station und Service AG
8000271;AN;de:01004:66023;Neumünster;9,979816;54,075752;DB Station und Service AG
8000272;SNK;de:10043:8000272;Neunkirchen(Saar)Hbf;7,176655;49,353291;DB Station und Service AG
8000273;DMBH;de:14523:433;Muldenberg Floßplatz;12,399034;50,41569;DB Station und Service AG
8000274;KN,KN  O,KN  W;de:05162:20055;Neuss Hbf;6,684527;51,204351;DB Station und Service AG
8000275;RN;de:07316:3144;Neustadt(Weinstr)Hbf;8,140757;49,349553;DB Station und Service AG
8000276;KNE;de:07138:10107;Neuwied;7,473132;50,431466;DB Station und Service AG
8000277;FND;de:06440:11145;Nidda;8,998881;50,411449;DB Station und Service AG
8000278;KNL;de:07141:050017;Niederlahnstein;7,599503;50,31639;DB Station und Service AG
8000279;HNBG;de:03256:67639;Nienburg(Weser);9,217753;52,645566;DB Station und Service AG
8000280;MNL;de:09779:6514;Nördlingen;10,497863;48,850841;DB Station und Service AG
8000282;HNOS;de:03254:9926;Nordstemmen;9,788881;52,166394;DB Station und Service AG
8000283;HN;de:03155:68704;Northeim(Han);9,986618;51,703139;DB Station und Service AG
8000284;NN;de:09564:510;Nürnberg Hbf;11,082989;49,445616;DB Station und Service AG
8000285;FORD;de:06438:4646;Rödermark-Ober Roden;8,828961;49,973622;DB Station und Service AG
8000286;EOB;de:05119:14022;Oberhausen Hbf;6,851588;51,474878;DB Station und Service AG
8000287;NOKP;de:09475:8815;Oberkotzau;11,932204;50,266389;DB Station und Service AG
8000288;FWB;de:06414:11131;Wiesbaden-Biebrich;8,236423;50,048829;DB Station und Service AG
8000289;DZWM;de:14524:1033;Zwickau Zentrum;12,496893;50,715544;Städtische Verkehrsbetriebe Zwickau
8000290;RO;de:08317:14506;Offenburg;7,946723;48,476475;DB Station und Service AG
8000291;HOLD;de:03403:16750;Oldenburg(Oldb);8,222713;53,144323;DB Station und Service AG
8000292;DZWG;de:14524:1171;Zwickau Stadthalle;12,498056;50,70392;Städtische Verkehrsbetriebe Zwickau
8000294;HO,HO  O,HO  U;de:03404:71612;Osnabrück Hbf;8,061781;52,272851;DB Station und Service AG
8000295;TO;de:08225:8200;Osterburken;9,422692;49,429657;DB Station und Service AG
8000297;EPD;de:05774:7000;Paderborn Hbf;8,740505;51,712979;DB Station und Service AG
8000298;NPA;de:09262:156;Passau Hbf;13,450776;48,573632;DB Station und Service AG
8000299;TPH;de:08231:50;Pforzheim Hbf;8,703099;48,894152;DB Station und Service AG
8000301;NPL;de:09271:4445;Plattling;12,86394;48,779619;DB Station und Service AG
8000302;TP;de:08116:7802;Plochingen;9,41081;48,71308;DB Station und Service AG
8000304;HQ;de:03459:75000;Quakenbrück;7,947819;52,673943;DB Station und Service AG
8000306;RRA;de:08216:1844;Rastatt;8,215623;48,860483;DB Station und Service AG
8000307;ERE;de:05562:3581;Recklinghausen Hbf;7,20349;51,616359;DB Station und Service AG
8000309;NRH;de:09362:11090;Regensburg Hbf;12,099617;49,011672;DB Station und Service AG
8000310;KRE;de:07131:080107;Remagen;7,229779;50,577215;DB Station und Service AG
8000311;KRL;de:05120:12106;Remscheid-Lennep;7,252833;51,190724;DB Station und Service AG
8000312;AR;de:01058:76697;Rendsburg;9,671134;54,302262;DB Station und Service AG
8000313;TRX;de:08115:7302;Renningen;8,93235;48,775121;DB Station und Service AG
8000314;TRE;de:08415:22006;Reutlingen Hbf;9,209116;48,496079;DB Station und Service AG
8000315;ERDW;de:05754:6516;Rheda-Wiedenbrück;8,28665;51,857023;DB Station und Service AG
8000316;HR;de:05566:60846;Rheine;7,434255;52,276299;DB Station und Service AG
8000317;KRH;de:05112:16450;Rheinhausen;6,706484;51,393507;DB Station und Service AG
8000318;KRY,KRY P;de:05116:23023;Rheydt Hbf;6,439564;51,163027;DB Station und Service AG
8000319;SRO;de:10045:8000319;Rohrbach(Saar);7,157395;49,276737;DB Station und Service AG
8000320;MRO;de:09163:9;Rosenheim;12,119202;47,850018;DB Station und Service AG
8000321;AROG;de:03357:78914;Rotenburg(Wümme);9,390098;53,112349;DB Station und Service AG
8000322;TR;de:08325:6584;Rottweil;8,639295;48,165304;DB Station und Service AG
8000323;SSH;de:10041:8000323;Saarbrücken Hbf;6,991021;49,241065;DB Station und Service AG
8000324;KBPS;de:07140:060047;Boppard Süd;7,595521;50,230197;DB Station und Service AG
8000325;HSRI;de:03102:3284;Salzgitter-Ringelheim;10,31483;52,038158;DB Station und Service AG
8000326;RSD;de:07338:3430;Schifferstadt;8,364945;49,39291;DB Station und Service AG
8000327;FWHM;de:07331:3935;Wahlheim;8,09992;49,719105;RP Eisenbahn GmbH
8000328;NSAW;de:09472:23790;Schnabelwaid;11,59566;49,810453;DB Station und Service AG
8000329;TSG;de:08136:3077;Schwäbisch Gmünd;9,787795;48,801011;DB Station und Service AG
